0,1,2,3,4,5,6,7,8
0,0.953703703703703,0.996031746031746,0.333333333333333,0,1,1,0.75,1
1,0.935185185185184,0.001984126984127,1,1,0,0,0.75,0
0.4,0.0470247056155477,0.59737830993349,1,0,0,1,1,0.333333333333333
0.8,0.0185185185185173,0.400793650793651,1,1,1,0,0.75,0.666666666666667
0.4,0.935185185185184,0.599206349206349,1,0,0,1,0.25,1
1,0.0465530766437565,0.0000550243601701861,0,1,1,1,0.75,1
0.4,0.0462962962962958,0.597222222222222,1,0,1,0,0.25,0
0.4,0.956801632519264,0.5985425073173,1,0,1,0,1,0.666666666666667
1,0.0370370370370363,0.001984126984127,1,1,0,0,1,0
0.4,0.0185185185185173,0.599206349206349,1,0,0,1,0.5,0.333333333333333
0.4,0.935185185185184,0.599206349206349,1,0,0,1,0,0.333333333333333
1,0.00925925925925863,0,0,1,1,1,0.25,0.333333333333333
0.2,0.944444444444444,0.797619047619048,0.666666666666667,1,0,0,0.25,0
0.8,0.972222222222221,0.404761904761905,1,1,0,1,0.75,1
1,0.0185185185185173,0.00011331175812368,0,1,1,1,0.25,1
0.8,0.95739032944308,0.403181922302172,1,1,0,1,0,0.333333333333333
1,0.996010499115233,0.000213723261683951,1,1,0,0,0.5,0
1,0.950312054444162,0.00396825396825398,0,1,1,1,0.75,1
0.2,0.962962962962963,0.797619047619048,0.666666666666667,1,0,0,0.75,0.666666666666667
0.2,0.00925925925925863,0.801587301587302,0.666666666666667,1,0,0,0.75,0.666666666666667
0.4,0.0555555555555545,0.603174603174603,1,0,0,1,1,1
0.8,0.935185185185184,0.400793650793651,1,1,0,1,0,1
0.4,0.00925925925925863,0.599206349206349,1,0,0,1,0.5,0.333333333333333
0.2,0.0370370370370363,0.795634920634921,0.666666666666667,1,0,0,0.25,0.666666666666667
0.8,0.953703703703703,0.400793650793651,1,1,1,0,0.5,0.666666666666667
1,0.0425644460909167,0,0,1,1,1,0.25,1
1,0.0185185185185173,0.00595238095238096,1,1,0,0,0.5,0.666666666666667
1,0.962962962962963,0,0,1,1,1,0.75,1
1,0.944444444444444,0,1,1,0,0,0.75,0.666666666666667
1,0.953703703703703,0.00413549824858553,0,1,1,1,0.25,1
1,0.972222222222221,0.001984126984127,0,1,1,1,1,1
0.8,0.935185185185184,0.400793650793651,1,1,1,0,1,0
0.8,0.0185185185185173,0.398809523809524,1,1,1,0,0,0
0.8,0.935660314751408,0.398809523809524,1,1,1,0,0.25,0
0.6,0,0.200396825396825,1,0,1,1,1,1
0.6,0.964237329729709,0.200396825396825,1,0,1,1,0,0.333333333333333
0.4,0.953703703703703,0.599206349206349,1,0,0,1,1,1
0.2,0.944444444444444,0.797619047619048,0.666666666666667,1,0,0,0.5,0
0.4,0.972222222222221,0.599206349206349,1,0,0,1,0.75,1
0.4,0.0462962962962958,0.598893129171734,1,0,1,0,0.75,0
1,0.0415605892704853,0.00595238095238096,0,1,1,1,0.75,1
1,0.0555555555555545,0.00595238095238096,1,1,0,0,0,0.666666666666667
0.6,0.962962962962963,0.200396825396825,1,0,0,0,0.25,0.666666666666667
1,0.963125300234009,0.00400304052633535,1,1,0,0,1,0
0,0.972222222222221,0.998015873015873,0.333333333333333,0,0,0,0,0
0.2,0.0370370370370363,0.797619047619048,0.666666666666667,1,1,1,0.5,0.333333333333333
1,0.947063485339377,0,0,1,1,1,0.25,1
0.8,0.944444444444444,0.398809523809524,1,1,1,0,1,0.666666666666667
0.8,0.00925925925925863,0.399193877235629,1,1,1,0,0.25,0
1,0.935517667740597,0.00396825396825398,0,1,1,1,0.25,1
0,0.962962962962963,1,0.333333333333333,0,1,1,0.75,0.333333333333333
0.6,0.0185185185185173,0.202380952380952,1,0,1,1,1,0.333333333333333
1,0.0185185185185173,0.00396825396825398,0,1,1,1,1,1
0.8,0.0462962962962958,0.400793650793651,1,1,1,0,0.75,0
0.6,0.935185185185184,0.204365079365079,1,0,0,0,0,0
0.8,0.944444444444444,0.404761904761905,1,1,1,0,0,0.666666666666667
0.6,0.966393234149669,0.200396825396825,1,0,1,1,0.25,0.333333333333333
1,0.0462962962962958,0,0,1,1,1,0.25,0.333333333333333
0.4,0.0462962962962958,0.597222222222222,1,0,0,1,0.5,1
0.8,0.944444444444444,0.398809523809524,1,1,1,0,0,0.666666666666667
1,0.990580207778735,0,1,1,0,0,0.5,0
0.6,0.953703703703703,0.204365079365079,1,0,1,1,0.5,1
0.6,0.972222222222221,0.200396825396825,1,0,1,1,0.75,1
1,0.0185185185185173,0,1,1,0,0,0.5,0
0.4,0.967484195988935,0.598191057870645,1,0,0,1,1,0.333333333333333
0.8,0.0370370370370363,0.400793650793651,1,1,1,0,1,0
