0,1,2,3,4,5,6,7,8
0.2,0.944444444444444,0.797619047619048,0.666666666666667,1,0,0,1,0.666666666666667
1,0.0555555555555545,0.00595238095238096,0,1,1,1,0.25,1
1,0.962962962962963,0.001984126984127,1,1,0,0,1,0
0.6,0.0462962962962958,0.200396825396825,1,0,0,0,0.5,0.666666666666667
1,0.0185185185185173,0.00315975932396331,0,1,1,1,0.75,1
0,0.00925925925925863,0.994047619047619,0.333333333333333,0,1,1,0.75,0.333333333333333
1,0.0164175504326227,0.00595238095238096,0,1,1,1,0.25,1
0.4,0.0462962962962958,0.599341961050617,1,0,0,1,1,1
0.8,0.0185185185185173,0.398809523809524,1,1,0,1,1,1
1,0.0370370370370363,0.001984126984127,1,1,0,0,0,0
1,0.0185185185185173,0.00595238095238096,0,1,1,1,1,0.333333333333333
0.2,0.0277777777777777,0.795634920634921,0.666666666666667,1,1,1,1,1
1,0.0462962962962958,0.00288492483857583,0,1,1,1,0.75,1
1,0.0458634343707161,0,0,1,1,1,0.75,1
0.6,0.0185185185185173,0.200436632640665,1,0,1,1,0.25,0.333333333333333
0,0.935185185185184,0.994047619047619,0.333333333333333,0,0,0,0.25,0.666666666666667
0.2,0.972222222222221,0.797619047619048,0.666666666666667,1,1,1,0.5,0.333333333333333
0.4,0.0555555555555545,0.603174603174603,1,0,0,1,1,1
1,0.0185185185185173,0.00525775166326986,0,1,1,1,0.75,1
1,0.0370370370370363,0,0,1,1,1,0.75,1
0.4,0.042881833772868,0.598474678665615,1,0,1,0,0.25,0
1,0.0155737369433631,0.00135310236087971,0,1,1,1,0.25,1
1,0.944444444444444,0.00533157776705515,0,1,1,1,0.25,1
0.6,0.935185185185184,0.200396825396825,1,0,0,0,0,0.666666666666667
1,0.944444444444444,0.00396825396825398,1,1,0,0,0.5,0.666666666666667
0.2,0.0277777777777777,0.001984126984127,0.666666666666667,1,0,0,0,0.666666666666667
1,0.0383373727359375,0,0,1,1,1,0.75,1
0.8,0.0185185185185173,0.400793650793651,1,1,0,1,1,0.333333333333333
0.4,0.0185185185185173,0.597222222222222,1,0,1,0,0.75,0.666666666666667
0.6,0.953703703703703,0.200402847209666,1,0,1,1,0,0.333333333333333
0.8,0.953703703703703,0.400793650793651,1,1,0,1,0.5,0.333333333333333
0.6,0.0324475929171539,0.200396825396825,1,0,1,1,0.25,0.333333333333333
1,0.953703703703703,0.0021912638554677,0,1,1,1,0.25,1
0.8,0.953703703703703,0.400793650793651,1,1,0,1,0.75,0.333333333333333
0.4,0.953703703703703,0.597222222222222,1,0,1,0,0.75,0.666666666666667
0.8,0.972222222222221,0.398809523809524,1,1,1,0,0,0.666666666666667
0.2,0.0555555555555545,0.793650793650794,0.666666666666667,1,1,1,1,0.333333333333333
1,0.953703703703703,0.00396825396825398,1,1,0,0,0.25,0.666666666666667
0.2,0.0370370370370363,0.797619047619048,0.666666666666667,1,1,1,0,1
0.2,0.0370370370370363,0.795634920634921,0.666666666666667,1,0,0,0.5,0.666666666666667
0.8,0.0235230805306843,0.398809523809524,1,1,0,1,0,0.333333333333333
1,0.957561993416356,0,0,1,1,1,0.25,1
1,0.042675999938619,0,0,1,1,1,0.75,1
0.8,0.00925925925925863,0.398809523809524,1,1,1,0,1,0
1,0.951550184333716,0.00549091251595502,0,1,1,1,0.25,1
0.4,0.0235207961743242,0.597222222222222,1,0,1,0,0.75,0
0.4,0.0142178685867371,0.598143790064747,1,0,1,0,0.25,0
0.2,0.972222222222221,0.795634920634921,0.666666666666667,1,1,1,1,1
1,0.963159010739105,0,0,1,1,1,0.75,1
1,0.0370370370370363,0.00137347399313881,0,1,1,1,0.25,1
1,0.0277777777777777,0.00445639812220341,1,1,0,0,0.5,0
0.8,0.00925925925925863,0.404761904761905,1,1,1,0,0.25,0
0,0.953799392807599,0.994047619047619,0.333333333333333,0,1,1,1,1
1,0.0277777777777777,0.00595238095238096,0,1,1,1,1,0.333333333333333
0.8,0.00925925925925863,0.398809523809524,1,1,1,0,0.75,0
1,0.0229690927850781,0.001984126984127,1,1,0,0,0.5,0
1,0.962962962962963,0,0,1,1,1,0.25,0.333333333333333
0.2,0.962962962962963,0.001984126984127,0.666666666666667,1,1,1,0.5,0.333333333333333
0.6,0.0277777777777777,0.202380952380952,1,0,1,1,1,0.333333333333333
0.4,0.0370370370370363,0.599206349206349,1,0,1,0,0.75,0
0.4,0.0462962962962958,0.603174603174603,1,0,1,0,0.25,0
0.2,0.962962962962963,0.795634920634921,0.666666666666667,1,0,0,1,0.666666666666667
0.4,0.0332510469986271,0.598033505801881,1,0,1,0,0.25,0
0,0.953703703703703,0.996031746031746,0.333333333333333,0,1,1,0.5,1
0.2,0.0370370370370363,0.801587301587302,0.666666666666667,1,0,0,0.5,0.666666666666667
1,0.0159458969424939,0.001984126984127,0,1,1,1,0.75,1
1,0.0185185185185173,0.00595238095238096,0,1,1,1,0.75,0.333333333333333
1,0.00925925925925863,0,0,1,1,1,1,0.333333333333333
1,0.0475019791253466,0.00250084819657734,0,1,1,1,0.25,1
0.2,0.944444444444444,0.797619047619048,0.666666666666667,1,1,1,0.25,1
0.8,0.0277777777777777,0.400671999035432,1,1,0,1,0,0.333333333333333
0.6,0.944444444444444,0.202380952380952,1,0,1,1,0,1
0.2,0.0555555555555545,0.797619047619048,0.666666666666667,1,1,1,1,0.333333333333333
0.8,0.0277777777777777,0.404761904761905,1,1,1,0,1,0
0.4,0.938708302965106,0.600716256826316,1,0,0,1,0.25,0.333333333333333
0.4,0.00925925925925863,0.597222222222222,1,0,1,0,0.25,0
1,0.935185185185184,0.001984126984127,0,1,1,1,0.25,1
